"id","learner_id","responded_at","archetype"
"389314","23c1f8c3-b44e-4692-8234-ef4022f96b71","2017-11-14 00:09:26 UTC","Vitalisers"
"395920","603faac8-5419-4005-a38a-4439d8abff5b","2017-11-14 06:13:00 UTC","Explorers"
"397013","3d3bf08d-ae75-4386-b360-b1d9a8290be7","2017-11-15 06:15:18 UTC","Vitalisers"
"405135","40207781-50bb-4d85-8367-83c3dd043d4b","2018-01-09 08:33:40 UTC","Explorers"
"407933","66d9d1a9-ed0b-4764-a897-be4d0b0e6291","2017-11-14 15:36:15 UTC","Advancers"
"410640","a42cd237-ef47-4757-9b27-6f71641454cc","2017-11-14 19:30:14 UTC","Vitalisers"
"414213","0bf2124d-93fc-4c6c-89ee-4f8c9ed36ec2","2017-11-21 03:32:09 UTC","Vitalisers"
"414788","aad6ea2b-2bd9-4b7c-9b61-1bf691c99844","2017-11-16 01:43:43 UTC","Advancers"
"414894","830daf2b-ce25-44e1-abb6-9f2e43bb625e","2017-11-21 04:24:58 UTC","Explorers"
"421465","52fb519e-116b-4ded-a410-25ba3018520f","2017-11-17 12:05:55 UTC","Vitalisers"
"426640","9d1b6410-e144-4382-a539-86d646456e6e","2017-11-16 09:17:39 UTC","Preparers"
"427200","624b61f9-9e1c-4ab8-9ccd-1e3e29e49e6f","2017-11-16 10:16:53 UTC","Hobbyists"
"428129","e38936f5-2f39-4ef8-9c3b-e5e3c9d8f34f","2017-11-19 08:38:19 UTC","Fixers"
"428335","9a6f86fa-c67e-491c-b921-afdf406f597b","2017-11-17 03:06:01 UTC","Fixers"
"431206","eaafc341-265f-4c72-8f45-0d84389d09a3","2017-11-16 17:22:08 UTC","Flourishers"
"431498","386ae3ca-17fd-4982-9588-60e93c50e5b2","2017-11-19 20:35:58 UTC","Fixers"
"433470","b908ef92-0811-4208-8d72-d6d3c2385dd0","2017-11-17 09:29:16 UTC","Preparers"
"434234","390d5b6b-301b-4c88-8dca-ac50f657fbbd","2017-11-21 01:35:52 UTC","Fixers"
"435625","27d55f66-cee5-4109-b70c-c6d6b5adcc62","2017-12-04 04:52:00 UTC","Vitalisers"
"435921","b1564249-04ef-4e4e-bb19-485b8a490578","2017-11-17 12:16:38 UTC","Vitalisers"
"436284","cd25a11a-61ef-4cc6-b411-5622123cc96d","2017-11-17 18:53:01 UTC","Advancers"
"440065","ac4a9552-7591-4b32-b1fc-5902d430e2cb","2017-11-17 16:24:59 UTC","Explorers"
"440199","53d5311e-f2d3-45d0-8572-d76184687a2e","2017-11-17 17:12:35 UTC","Explorers"
"440417","cabb6e3f-940d-4029-9dcb-5c7c759158d5","2017-11-17 17:18:53 UTC","Vitalisers"
"440987","1139938f-3772-40c7-bee2-53a77f1cb878","2017-11-17 18:23:02 UTC","Vitalisers"
"441222","5d3ccedd-52db-4aa6-9232-b0529c0e395e","2017-11-17 19:37:59 UTC","Fixers"
"442625","f9400623-bbcc-4252-a789-6e837012d503","2017-11-17 22:49:59 UTC","Explorers"
"443970","4d17cb2e-e2c3-4517-bf14-94268a4170c0","2017-11-19 10:26:01 UTC","Flourishers"
"445209","1a2f5e0d-2688-430f-bae2-b9fc28ebd375","2017-11-18 09:53:24 UTC","Fixers"
"447562","1e2ac4c0-6895-4a5d-8a2d-3b71990bbd29","2017-11-18 16:17:59 UTC","Fixers"
"447797","ac88bccf-a388-4ca7-81b4-b90064b01b49","2017-11-18 16:16:57 UTC","Flourishers"
"447880","a6c80d6d-d7df-4b8c-b482-7da360f8c201","2017-11-18 16:58:47 UTC","Vitalisers"
"449225","148e14ed-324d-45e1-b1bd-3b9971b865df","2017-11-18 19:42:16 UTC","Explorers"
"449352","66788c80-3d74-4138-b2e3-79086eb54d64","2017-11-18 19:44:08 UTC","Explorers"
"449860","b12c54e5-533d-46ab-b933-4ed3e3bb87ec","2017-11-18 20:06:55 UTC","Flourishers"
"450086","5c8a02b6-9608-4d8a-aa81-0dcb188289af","2017-11-21 11:46:23 UTC","Explorers"
"450790","6da4ecf7-8640-4ec5-ac81-d9e5f772f967","2017-11-19 08:07:33 UTC","Hobbyists"
"451295","83c0e64b-965e-40ad-8a2e-a292f605c7f6","2017-11-18 23:12:20 UTC","Vitalisers"
"452233","e4262a0e-058b-41b6-8b9c-cc3e31ccc375","2017-11-19 02:36:13 UTC","Other"
"452975","c2e77df1-a152-4330-86e7-3419aa1253a7","2017-11-19 06:09:50 UTC","Explorers"
"453260","668c4608-6063-483a-8591-07d9625d5667","2017-11-20 05:27:14 UTC","Advancers"
"454056","9acbe058-1037-42a8-aeb5-929e78f33905","2017-11-19 09:34:34 UTC","Fixers"
"454104","aca1c0ea-d010-49fd-9b25-87ceae46ad7e","2017-11-19 20:14:14 UTC","Preparers"
